"gear","n. 齿轮；装置，工具；传动装置
vi. 适合；搭上齿轮；开始工作
vt. 开动；搭上齿轮；使……适合；使……准备好
adj. 好极了","The gears mesh with each other.齿轮相互啮合。",
"legislation","n. 立法；法律","an ineffectual effort to block the legislation.企图阻止立法机关行为的无效努力",
"submerge","vt. 淹没；把…浸入；沉浸
vi. 淹没；潜入水中；湮没","A partially submerged log or trunk.部分浸没的木头或树干.",
"smash","vt. 粉碎；使破产；溃裂
n. 破碎；扣球；冲突；大败
vi. 粉碎；打碎
adj. 了不起的；非常轰动的；出色的","The glass was smashed to smithereens.玻璃被打得粉碎。",
"withstand","vt. 抵挡；禁得起；反抗
vi. 反抗","He learns about himself and what he can withstand, and what type of relationships are important to him. 他了解自己，知道什么是他可以承受的，知道了什么样的关系对他才是重要的。",
"recruit","n. 招聘；新兵；新成员
vt. 补充；聘用；征募；使…恢复健康
vi. 复原；征募新兵；得到补充；恢复健康","The recruits drilled regularly.新兵按时操练。",
"presumably","adv. 大概；推测起来；可假定","Presumably you've read this notice.你大概已经看到这个通知了。",
"haste","n. 匆忙；急忙；轻率
vi. 匆忙；赶紧
vt. 赶快","Haste makes waste is a proverb.欲速则不达是一句谚语。",
"whereas","conj. 然而；鉴于；反之","Whereas the following incidents have occurred. 鉴于下列事实已经发生，…",
"deputy","n. 代理人，代表
adj. 副的；代理的","One who acts as a deputy or a proxy.代理做代理或委托的人",
"shiver","n. 颤抖，战栗；碎片
vi. 颤抖；哆嗦；打碎
vt. 颤抖；打碎","He shivered the mirror with a hammer.他用锤子将镜子砸得粉碎。",
"modify","vt. 修改，修饰；更改
vi. 修改","He won't modify his demands.他不会降低要求的。",
"fax","vt. 传真
n. 传真","Our fax number is 112-2334.我们传真号码是112-2334。",
"retain","vt. 保持；雇；记住","These roses retain their scent.这些玫瑰花仍有余香.",
"retail","vt. 零售；转述
vi. 零售
n. 零售
adv. 以零售方式
adj. 零售的","These socks retail at $ 5 a pair.这些袜子零售5美元一双。",
